KO	Function	Pathway	Enzyme	Modules	Hyperlink
K15876	nrfH; cytochrome c nitrite reductase small subunit	map00910(Nitrogen metabolism); map01120(Microbial metabolism in diverse environments)		M00530	http://rest.kegg.jp/get/K15876
K15877	CYP55; fungal nitric oxide reductase	map00910(Nitrogen metabolism); map01120(Microbial metabolism in diverse environments)	EC:1.7.1.14	M00529	http://rest.kegg.jp/get/K15877
K15878	K15878, narB; rieske iron-sulphur protein				http://rest.kegg.jp/get/K15878
K15879	narC; cytochrome b-561				http://rest.kegg.jp/get/K15879
K15884	snoaE, aknE1; bifunctional aromatase (cyclase/dehydratase)	map01056(Biosynthesis of type II polyketide backbone); map01130(Biosynthesis of antibiotics)	EC:4.2.1.-	M00778	http://rest.kegg.jp/get/K15884
K15885	mtmQ; C7-C12 aromatase (ARO/CYC)	map01056(Biosynthesis of type II polyketide backbone); map01130(Biosynthesis of antibiotics)	EC:4.2.1.-	M00778	http://rest.kegg.jp/get/K15885
K15886	tcmN; multifunctional cyclase / dehydratase / O-methyltransferase	map01056(Biosynthesis of type II polyketide backbone); map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)	EC:2.3.1.235	M00778 M00783	http://rest.kegg.jp/get/K15886
K15887	ZFPS; (2Z,6Z)-farnesyl diphosphate synthase	map00900(Terpenoid backbone biosynthesis); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments)	EC:2.5.1.92		http://rest.kegg.jp/get/K15887
K15888	uppS, cpdS; tritrans,polycis-undecaprenyl-diphosphate synthase [geranylgeranyl-diphosphate specific]	map00900(Terpenoid backbone biosynthesis)	EC:2.5.1.89		http://rest.kegg.jp/get/K15888
K15889	PCME; prenylcysteine alpha-carboxyl methylesterase	map00900(Terpenoid backbone biosynthesis); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics)	EC:3.1.1.-		http://rest.kegg.jp/get/K15889
K15890	FOHSDR; NADP+-dependent farnesol dehydrogenase	map00900(Terpenoid backbone biosynthesis); map00981(Insect hormone biosynthesis); map01130(Biosynthesis of antibiotics)	EC:1.1.1.216		http://rest.kegg.jp/get/K15890
K15891	FLDH; NAD+-dependent farnesol dehydrogenase	map00900(Terpenoid backbone biosynthesis); map00909(Sesquiterpenoid and triterpenoid biosynthesis); map01130(Biosynthesis of antibiotics)	EC:1.1.1.354		http://rest.kegg.jp/get/K15891
K15892	FOLK; farnesol kinase	map00900(Terpenoid backbone biosynthesis); map01130(Biosynthesis of antibiotics)	EC:2.7.1.216		http://rest.kegg.jp/get/K15892
K15893	HPR1; hydroxypyruvate reductase 1	map00260(Glycine, serine and threonine metabolism); map00630(Glyoxylate and dicarboxylate metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism)		M00532	http://rest.kegg.jp/get/K15893
K15894	pseB; UDP-N-acetylglucosamine 4,6-dehydratase	map00520(Amino sugar and nucleotide sugar metabolism)	EC:4.2.1.115		http://rest.kegg.jp/get/K15894
K15895	pseC; UDP-4-amino-4,6-dideoxy-L-N-acetyl-beta-L-altrosamine transaminase	map00520(Amino sugar and nucleotide sugar metabolism)	EC:2.6.1.92		http://rest.kegg.jp/get/K15895
K15896	pseH; UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase	map00520(Amino sugar and nucleotide sugar metabolism)	EC:2.3.1.202		http://rest.kegg.jp/get/K15896
K15897	pseG; UDP-2,4-diacetamido-2,4,6-trideoxy-beta-L-altropyranose hydrolase	map00520(Amino sugar and nucleotide sugar metabolism)	EC:3.6.1.57		http://rest.kegg.jp/get/K15897
K15898	pseI, neuB3; pseudaminic acid synthase	map00520(Amino sugar and nucleotide sugar metabolism)	EC:2.5.1.97		http://rest.kegg.jp/get/K15898
K15899	pseF; pseudaminic acid cytidylyltransferase	map00520(Amino sugar and nucleotide sugar metabolism)	EC:2.7.7.81		http://rest.kegg.jp/get/K15899
K15901	CGI121, TPRKB; EKC/KEOPS complex subunit CGI121/TPRKB				http://rest.kegg.jp/get/K15901
K15902	PCC1, LAGE3; EKC/KEOPS complex subunit PCC1/LAGE3				http://rest.kegg.jp/get/K15902
K15903	GON7, PCC2; protein GON7				http://rest.kegg.jp/get/K15903
K15904	kae1-bud32; bifunctional N6-L-threonylcarbamoyladenine synthase / protein kinase Bud32		EC:2.3.1.234 EC:2.7.11.1		http://rest.kegg.jp/get/K15904
K15907	ptlI, CYP183A; pentalenene oxygenase	map00909(Sesquiterpenoid and triterpenoid biosynthesis); map01130(Biosynthesis of antibiotics)	EC:1.14.13.133	M00819	http://rest.kegg.jp/get/K15907
K15908	EAP1; protein EAP1				http://rest.kegg.jp/get/K15908
K15909	SHIP2, INPPL1; phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase 2	map00562(Inositol phosphate metabolism); map04070(Phosphatidylinositol signaling system); map04662(B cell receptor signaling pathway); map04666(Fc gamma R-mediated phagocytosis); map04910(Insulin signaling pathway)	EC:3.1.3.86		http://rest.kegg.jp/get/K15909
K15910	pglE; UDP-N-acetylbacillosamine transaminase	map00520(Amino sugar and nucleotide sugar metabolism)	EC:2.6.1.34		http://rest.kegg.jp/get/K15910
K15911	K15911; tuberculosinol/isotuberculosinol synthase		EC:3.1.7.8 EC:3.1.7.9		http://rest.kegg.jp/get/K15911
K15912	pglF; UDP-N-acetyl-D-glucosamine 4,6-dehydratase	map00520(Amino sugar and nucleotide sugar metabolism)	EC:4.2.1.135		http://rest.kegg.jp/get/K15912
K15913	pglD; UDP-N-acetylbacillosamine N-acetyltransferase	map00520(Amino sugar and nucleotide sugar metabolism)	EC:2.3.1.203		http://rest.kegg.jp/get/K15913
K15914	pglA; N,N'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-1,3-N-acetylgalactosaminyltransferase		EC:2.4.1.290		http://rest.kegg.jp/get/K15914
K15915	pglC; undecaprenyl phosphate N,N'-diacetylbacillosamine 1-phosphate transferase		EC:2.7.8.36		http://rest.kegg.jp/get/K15915
K15916	pgi-pmi; glucose/mannose-6-phosphate isomerase	map00010(Glycolysis / Gluconeogenesis); map00030(Pentose phosphate pathway); map00051(Fructose and mannose metabolism); map00500(Starch and sucrose metabolism); map00520(Amino sugar and nucleotide sugar metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism)	EC:5.3.1.9 EC:5.3.1.8	M00001 M00004 M00114	http://rest.kegg.jp/get/K15916
K15918	GLYK; D-glycerate 3-kinase	map00260(Glycine, serine and threonine metabolism); map00561(Glycerolipid metabolism); map00630(Glyoxylate and dicarboxylate metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism)	EC:2.7.1.31	M00532	http://rest.kegg.jp/get/K15918
K15919	HPR2; hydroxypyruvate reductase 2	map00260(Glycine, serine and threonine metabolism); map00630(Glyoxylate and dicarboxylate metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism)		M00532	http://rest.kegg.jp/get/K15919
K15920	XYL4; xylan 1,4-beta-xylosidase	map00520(Amino sugar and nucleotide sugar metabolism); map01100(Metabolic pathways)	EC:3.2.1.37		http://rest.kegg.jp/get/K15920
K15921	xynD; arabinoxylan arabinofuranohydrolase	map00520(Amino sugar and nucleotide sugar metabolism)	EC:3.2.1.55		http://rest.kegg.jp/get/K15921
K15922	yihQ; sulfoquinovosidase		EC:3.2.1.199		http://rest.kegg.jp/get/K15922
K15923	AXY8, FUC95A, afcA; alpha-L-fucosidase 2	map00511(Other glycan degradation)	EC:3.2.1.51		http://rest.kegg.jp/get/K15923
K15924	xynC; glucuronoarabinoxylan endo-1,4-beta-xylanase		EC:3.2.1.136		http://rest.kegg.jp/get/K15924
K15925	XYL1; alpha-D-xyloside xylohydrolase		EC:3.2.1.177		http://rest.kegg.jp/get/K15925
K15926	jadI; cyclase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)			http://rest.kegg.jp/get/K15926
K15927	jadF; oxygenase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)			http://rest.kegg.jp/get/K15927
K15928	jadH; bifunctional hydroxylase/dehydrase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)			http://rest.kegg.jp/get/K15928
K15929	jadS; glycosyltransferase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)	EC:2.4.1.-		http://rest.kegg.jp/get/K15929
K15930	lndM2; bifunctional oxygenase/reductase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)			http://rest.kegg.jp/get/K15930
K15931	lndGT2; glycosyltransferase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)			http://rest.kegg.jp/get/K15931
K15932	lndZ4; reductase LndZ4	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)			http://rest.kegg.jp/get/K15932
K15933	lndZ5; oxygenase LndZ5	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)			http://rest.kegg.jp/get/K15933
K15934	lndGT1; D-olivosyltransferase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)			http://rest.kegg.jp/get/K15934
K15935	lndGT4; L-rhodinosyltransferase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)			http://rest.kegg.jp/get/K15935
K15936	urdGT2; glycosyltransferase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)	EC:2.4.1.-		http://rest.kegg.jp/get/K15936
K15937	urdGT1a; glycosyltransferase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)			http://rest.kegg.jp/get/K15937
K15938	urdGT1c; glycosyltransferase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)			http://rest.kegg.jp/get/K15938
K15939	urdGT1b; glycosyltransferase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)	EC:2.4.1.-		http://rest.kegg.jp/get/K15939
K15941	snoaB, dnrG, aknX; deoxynogalonate / 12-deoxyaklanonic acid monooxygenase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)	EC:1.13.12.22	M00781	http://rest.kegg.jp/get/K15941
K15942	snoaC, dnrC, dauC, aknG; O-methyltransferase / aklanonic acid methyltransferase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)	EC:2.1.1.288	M00781	http://rest.kegg.jp/get/K15942
K15943	snoaL, dnrD, dauD, aknH; nogalonic acid methyl ester cyclase / aklanonic acid methyl ester cyclase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)	EC:5.5.1.26 EC:5.5.1.23	M00781	http://rest.kegg.jp/get/K15943
K15944	snoaF, dnrE, dauE, aknU; nogalaviketone/aklaviketone reductase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)	EC:1.1.1.362	M00781	http://rest.kegg.jp/get/K15944
K15945	snoaL2; C-1 hydroxylase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)			http://rest.kegg.jp/get/K15945
K15946	aknS; aklavinone 7-alpha-L-rhodosaminyltransferase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)	EC:2.4.1.326		http://rest.kegg.jp/get/K15946
K15947	aknT; aklavinone 7-alpha-L-rhodosaminyltransferase auxiliary protein	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)			http://rest.kegg.jp/get/K15947
K15948	aknK; aclacinomycin-T 2-deoxy-L-fucose transferase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)	EC:2.4.1.327		http://rest.kegg.jp/get/K15948
K15949	aknOx; aclacinomycin-N/aclacinomycin-A oxidase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)	EC:1.1.3.45 EC:1.3.3.14		http://rest.kegg.jp/get/K15949
K15950	dnrF, rdmE; aklavinone 12-hydroxylase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)	EC:1.14.13.180		http://rest.kegg.jp/get/K15950
K15951	dnrS; glycosyltransferase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)	EC:2.4.1.-		http://rest.kegg.jp/get/K15951
K15952	dnrQ; glycosyltransferase auxiliary protein	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)			http://rest.kegg.jp/get/K15952
K15953	dnrP, dauP; 10-carbomethoxy-13-deoxycarminomycin esterase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)			http://rest.kegg.jp/get/K15953
K15954	dnrK, dauK; carminomycin 4-O-methyltransferase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)	EC:2.1.1.292		http://rest.kegg.jp/get/K15954
K15955	doxA, CYP129A; 13-deoxydaunorubicin hydroxylase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)	EC:1.14.13.181		http://rest.kegg.jp/get/K15955
K15956	dnrU; daunorubicin C-13 ketoreductase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)			http://rest.kegg.jp/get/K15956
K15957	rdmC; aclacinomycin methylesterase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)	EC:3.1.1.95		http://rest.kegg.jp/get/K15957
K15958	rdmB; SAM-dependent hydroxylase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)			http://rest.kegg.jp/get/K15958
K15959	mtmMI; O-methyltransferase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)	EC:2.1.1.-	M00782	http://rest.kegg.jp/get/K15959
K15960	mtmGIV; glycosyltransferase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)	EC:2.4.1.-	M00782	http://rest.kegg.jp/get/K15960
K15961	mtmGIII; glycosyltransferase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)	EC:2.4.1.-	M00782	http://rest.kegg.jp/get/K15961
K15962	mtmC; D-mycarose 3-C-methyltransferase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)			http://rest.kegg.jp/get/K15962
K15963	mtmMII; C-methyltransferase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)	EC:2.1.1.-	M00782	http://rest.kegg.jp/get/K15963
K15964	mtmGI; glycosyltransferase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)	EC:2.4.1.-	M00782	http://rest.kegg.jp/get/K15964
K15965	mtmGII; glycosyltransferase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)	EC:2.4.1.-	M00782	http://rest.kegg.jp/get/K15965
K15966	mtmOIV; monooxygenase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)	EC:1.14.13.-	M00782	http://rest.kegg.jp/get/K15966
K15967	mtmW; ketoreductase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)		M00782	http://rest.kegg.jp/get/K15967
K15968	tcmI; tetracenomycin F2 cyclase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)	EC:4.2.1.154	M00783	http://rest.kegg.jp/get/K15968
K15969	tcmH; tetracenomycin F1 monooxygenase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)	EC:1.13.12.21	M00783	http://rest.kegg.jp/get/K15969
K15970	tcmO; 8-O-methyltransferase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)		M00783	http://rest.kegg.jp/get/K15970
K15971	tcmP, elmP; O-methyltransferase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)	EC:2.1.1.-	M00783	http://rest.kegg.jp/get/K15971
K15972	tcmG, elmG; tetracenomycin A2 monooxygenase-dioxygenase	map01057(Biosynthesis of type II polyketide products); map01130(Biosynthesis of antibiotics)	EC:1.14.13.200	M00783	http://rest.kegg.jp/get/K15972
K15973	mhqR; MarR family transcriptional regulator, 2-MHQ and catechol-resistance regulon repressor				http://rest.kegg.jp/get/K15973
K15974	emrR, mprA; MarR family transcriptional regulator, negative regulator of the multidrug operon emrRAB			M00701	http://rest.kegg.jp/get/K15974
K15975	K15975; glyoxalase family protein				http://rest.kegg.jp/get/K15975
K15976	K15976; putative NAD(P)H nitroreductase		EC:1.-.-.-		http://rest.kegg.jp/get/K15976
K15977	K15977; putative oxidoreductase				http://rest.kegg.jp/get/K15977
K15978	AKAP8L, HA95; A-kinase anchor protein 8-like protein	map05169(Epstein-Barr virus infection)			http://rest.kegg.jp/get/K15978
K15979	SND1; staphylococcal nuclease domain-containing protein 1	map05169(Epstein-Barr virus infection); map05203(Viral carcinogenesis)			http://rest.kegg.jp/get/K15979
K15980	ACAD9; acyl-CoA dehydrogenase family member 9		EC:1.3.99.-		http://rest.kegg.jp/get/K15980
K15981	CYP125A; cholest-4-en-3-one 26-monooxygenase	map00984(Steroid degradation); map01120(Microbial metabolism in diverse environments)	EC:1.14.13.141		http://rest.kegg.jp/get/K15981
K15982	kshA; 3-ketosteroid 9alpha-monooxygenase subunit A	map00984(Steroid degradation); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments)	EC:1.14.13.142		http://rest.kegg.jp/get/K15982
K15983	kshB; 3-ketosteroid 9alpha-monooxygenase subunit B	map00984(Steroid degradation); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments)	EC:1.14.13.142		http://rest.kegg.jp/get/K15983
K15984	rsmJ; 16S rRNA (guanine1516-N2)-methyltransferase		EC:2.1.1.242		http://rest.kegg.jp/get/K15984
K15985	PKIA; cAMP-dependent protein kinase inhibitor alpha	map05034(Alcoholism)			http://rest.kegg.jp/get/K15985
K15986	ppaC; manganese-dependent inorganic pyrophosphatase	map00190(Oxidative phosphorylation)	EC:3.6.1.1		http://rest.kegg.jp/get/K15986
K15987	hppA; K(+)-stimulated pyrophosphate-energized sodium pump	map00190(Oxidative phosphorylation)	EC:3.6.1.1		http://rest.kegg.jp/get/K15987
K15988	tylG; tylactone synthase	map00522(Biosynthesis of 12-, 14- and 16-membered macrolides); map01052(Type I polyketide structures); map01130(Biosynthesis of antibiotics)		M00773	http://rest.kegg.jp/get/K15988
